name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"fastcall_noop",17440308,40.0816,40.0783,ns,,,,,
"ExamplesFixture<fce::IOCTL_NOOP>/fastcall_examples_noop",14311255,48.9186,48.9155,ns,,,,,
"ExamplesFixture<fce::IOCTL_STACK>/fastcall_examples_stack",12998714,53.9345,53.9306,ns,,,,,
"ExamplesFixture<fce::IOCTL_PRIV>/fastcall_examples_priv",13145938,53.309,53.3053,ns,,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/0",11879581,59.2606,59.2573,ns,0,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/8",11661070,60.1596,60.155,ns,1.3299e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/16",11464617,61.0466,61.0417,ns,2.62116e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/24",11394149,61.098,61.0938,ns,3.92839e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/32",11247328,62.9297,62.9264,ns,5.08531e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/40",11121076,62.9162,62.9127,ns,6.35801e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/48",11014140,63.6699,63.6651,ns,7.53946e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/56",10982244,63.7172,63.7134,ns,8.78936e+08,,,,
"ExamplesFixture<fce::IOCTL_ARRAY>/fastcall_examples_array/64",10940575,64.2838,64.2794,ns,9.95654e+08,,,,
"ExamplesFixture<fce::IOCTL_NT>/fastcall_examples_nt",2771621,244.679,244.663,ns,2.61584e+08,,,,
